xObs,xMean,xMedian,xRMS,xSigma
-60.839999999979966,0.011365060351896777,2.541049901414278e-06,5.422806772102203e-06,0.03406382439553721
-60.82999999997996,0.011370215513305477,2.5460654449174054e-06,5.433133564399137e-06,0.034079257553681
-60.819999999979956,0.011375371825058765,2.5510908881129565e-06,5.44348002216879e-06,0.03409469415044153
-60.80999999997995,0.01138052928715664,2.5561262505408696e-06,5.4538461828600216e-06,0.034110134185818784
-60.799999999979946,0.011385687899599107,2.56117155177965e-06,5.4642320839930036e-06,0.034125577659812785
-60.78999999997994,0.011390847662386162,2.5662268114464466e-06,5.474637763159358e-06,0.0341410245724235
-60.779999999979935,0.011396008575517804,2.571292049197128e-06,5.485063258022288e-06,0.03415647492365097
-60.76999999997993,0.011401170638994039,2.57636728472636e-06,5.4955086063167186e-06,0.034171928713495156
-60.759999999979925,0.01140633385281486,2.5814525377676794e-06,5.505973845849432e-06,0.03418738594195608
-60.74999999997992,0.011411498216980271,2.5865478280935734e-06,5.516459014499202e-06,0.03420284660903374
-60.739999999979915,0.011416663731490268,2.591653175515556e-06,5.526964150216934e-06,0.034218310714728126
-60.72999999997991,0.011421830396344859,2.5967685998842494e-06,5.537489291025804e-06,0.03423377825903926
-60.719999999979905,0.011426998211544036,2.601894121089441e-06,5.548034475021392e-06,0.034249249241967115
-60.7099999999799,0.011432167177087805,2.6070297590601917e-06,5.558599740371819e-06,0.034264723663511715
-60.699999999979894,0.01143733729297616,2.612175533764892e-06,5.569185125317891e-06,0.03428020152367304
-60.68999999997989,0.011442508559209103,2.617331465211346e-06,5.5797906681732334e-06,0.034295682822451094
-60.679999999979884,0.011447680975786637,2.6224975734468487e-06,5.590416407324429e-06,0.03431116755984589
-60.66999999997988,0.011452854542708764,2.6276738785582635e-06,5.6010623812311615e-06,0.034326655735857414
-60.659999999979874,0.011458029259975477,2.6328604006721005e-06,5.6117286284263465e-06,0.03434214735048567
-60.64999999997987,0.011463205127586777,2.6380571599545963e-06,5.622415187516282e-06,0.03435764240373066
-60.639999999979864,0.011468382145542669,2.6432641766117884e-06,5.633122097180777e-06,0.03437314089559239
-60.62999999997986,0.011473560313843148,2.6484814708896e-06,5.643849396173298e-06,0.034388642826070855
-60.619999999979854,0.011478739632488213,2.6537090630739113e-06,5.654597123321109e-06,0.03440414819516604
-60.60999999997985,0.011483920101477871,2.658946973490645e-06,5.665365317525411e-06,0.03441965700287797
-60.59999999997984,0.011489101720812118,2.664195222505841e-06,5.6761540177614804e-06,0.03443516924920662
-60.58999999997984,0.011494284490490954,2.669453830525738e-06,5.686963263078813e-06,0.034450684934152015
-60.57999999997983,0.011499468410514378,2.674722817996851e-06,5.697793092601268e-06,0.03446620405771414
-60.56999999997983,0.011504653480882391,2.680002205406053e-06,5.708643545527201e-06,0.034481726619892995
-60.55999999997982,0.011509839701594997,2.6852920132806564e-06,5.719514661129614e-06,0.03449725262068859
-60.54999999997982,0.011515027072652187,2.6905922621884773e-06,5.730406478756293e-06,0.03451278206010092
-60.53999999997981,0.011520215594053968,2.6959029727379415e-06,5.741319037829954e-06,0.03452831493812998
-60.52999999997981,0.011525405265800337,2.7012241655781457e-06,5.7522523778483834e-06,0.03454385125477577
-60.5199999999798,0.011530596087891299,2.7065558613989435e-06,5.76320653838458e-06,0.03455939101003829
-60.5099999999798,0.011535788060326846,2.711898080931027e-06,5.774181559086899e-06,0.03457493420391756
-60.49999999997979,0.011540981183106981,2.7172508449460026e-06,5.785177479679199e-06,0.03459048083641354
-60.48999999997979,0.011546175456231711,2.7226141742564794e-06,5.796194339960977e-06,0.03460603090752628
-60.47999999997978,0.011551370879701026,2.727988089716142e-06,5.807232179807525e-06,0.03462158441725573
-60.46999999997978,0.011556567453514929,2.7333726122198374e-06,5.818291039170062e-06,0.03463714136560193
-60.45999999997977,0.011561765177673421,2.7387677627036537e-06,5.829370958075888e-06,0.034652701752564845
-60.44999999997977,0.011566964052176505,2.7441735621450014e-06,5.840471976628521e-06,0.0346682655781445
-60.43999999997976,0.011572164077024176,2.7495900315626974e-06,5.851594135007849e-06,0.0346838328423409
-60.429999999979756,0.011577365252216434,2.7550171920170423e-06,5.8627374734702715e-06,0.03469940354515402
-60.41999999997975,0.011582567577753286,2.760455064609907e-06,5.873902032348846e-06,0.03471497768658389
-60.409999999979746,0.011587771053634727,2.765903670484812e-06,5.885087852053434e-06,0.03473055526663047
-60.39999999997974,0.011592975679860753,2.7713630308270093e-06,5.896294973070849e-06,0.0347461362852938
-60.389999999979736,0.01159818145643137,2.7768331668635726e-06,5.907523435964998e-06,0.03476172074257386
-60.37999999997973,0.011603388383346576,2.7823140998634553e-06,5.9187732813770355e-06,0.03477730863847066
-60.369999999979726,0.011608596460606371,2.7878058511376085e-06,5.9300445500255025e-06,0.034792899972984175
-60.35999999997972,0.011613805688210755,2.7933084420390397e-06,5.941337282706483e-06,0.034808494746114436
-60.349999999979715,0.011619016066159728,2.7988218939629027e-06,5.9526515202937435e-06,0.03482409295786142
-60.33999999997971,0.01162422759445329,2.8043462283465796e-06,5.963987303738883e-06,0.03483969460822515
-60.329999999979705,0.011629440273091443,2.809881466669766e-06,5.975344674071487e-06,0.03485529969720561
-60.3199999999797,0.011634654102074182,2.8154276304545533e-06,5.9867236723992686e-06,0.03487090822480281
-60.309999999979695,0.01163986908140151,2.8209847412655124e-06,5.99812433990822e-06,0.03488652019101672
-60.29999999997969,0.011645085211073429,2.8265528207097765e-06,6.00954671786276e-06,0.034902135595847386
-60.289999999979685,0.011650302491089936,2.832131890437128e-06,6.0209908476058886e-06,0.034917754439294776
-60.27999999997968,0.011655520921451034,2.8377219721400802e-06,6.032456770559331e-06,0.0349333767213589
-60.269999999979674,0.011660740502156718,2.843323087553962e-06,6.043944528223692e-06,0.03494900244203976
-60.25999999997967,0.011665961233206993,2.8489352584570037e-06,6.055454162178597e-06,0.03496463160133735
-60.249999999979664,0.011671183114601856,2.8545585066704204e-06,6.066985714082856e-06,0.03498026419925168
-60.23999999997966,0.011676406146341307,2.860192854058496e-06,6.0785392256746065e-06,0.034995900235782744
-60.229999999979654,0.011681630328425348,2.865838322528672e-06,6.090114738771462e-06,0.035011539710930524
-60.21999999997965,0.011686855660853982,2.871494934031632e-06,6.10171229527067e-06,0.03502718262469506
-60.209999999979644,0.011692082143627202,2.8771627105613726e-06,6.11333193714926e-06,0.035042828977076314
-60.19999999997964,0.011697309776745008,2.8828416741553157e-06,6.1249737064641935e-06,0.0350584787680743
-60.189999999979634,0.011702538560207408,2.888531846894374e-06,6.136637645352525e-06,0.03507413199768903
-60.17999999997963,0.011707768494014396,2.894233250903044e-06,6.148323796031541e-06,0.03508978866592048
-60.16999999997962,0.01171299957816597,2.8999459083494914e-06,6.160032200798924e-06,0.03510544877276867
-60.15999999997962,0.011718231812662135,2.9056698414456335e-06,6.1717629020329015e-06,0.035121112318233595
-60.14999999997961,0.01172346519750289,2.9114050724472325e-06,6.183515942192396e-06,0.03513677930231526
-60.13999999997961,0.011728699732688232,2.917151623653976e-06,6.195291363817188e-06,0.035152449725013656
-60.1299999999796,0.011733935418218164,2.9229095174095672e-06,6.207089209528058e-06,0.03516812358632878
-60.1199999999796,0.011739172254092685,2.9286787761018097e-06,6.21890952202695e-06,0.035183800886260636
-60.10999999997959,0.011744410240311799,2.934459422162695e-06,6.230752344097123e-06,0.03519948162480923
-60.09999999997959,0.011749649376875497,2.940251478068492e-06,6.2426177186033046e-06,0.035215165801974556
-60.08999999997958,0.011754889663783784,2.9460549663398304e-06,6.254505688491847e-06,0.035230853417756613
-60.07999999997958,0.01176013110103666,2.951869909541792e-06,6.266416296790884e-06,0.0352465444721554
-60.06999999997957,0.01176537368863413,2.9576963302839954e-06,6.278349586610483e-06,0.03526223896517093
-60.05999999997957,0.011770617426576183,2.9635342512206863e-06,6.290305601142806e-06,0.03527793689680318
-60.04999999997956,0.011775862314862828,2.9693836950508293e-06,6.302284383662263e-06,0.035293638267052174
-60.03999999997956,0.011781108353494062,2.975244684518176e-06,6.314285977525665e-06,0.0353093430759179
-60.02999999997955,0.011786355542469885,2.9811172424113842e-06,6.326310426172392e-06,0.03532505132340036
-60.01999999997955,0.011791603881790296,2.9870013915640867e-06,6.3383577731245335e-06,0.03534076300949955
-60.00999999997954,0.011796853371455295,2.9928971548549834e-06,6.350428061987065e-06,0.03535647813421547
-59.999999999979536,0.011802104011464889,2.9988045552079323e-06,6.362521336447991e-06,0.03537219669754814
-59.98999999997953,0.011807355801819066,3.004723615592037e-06,6.374637640278508e-06,0.03538791869949753
-59.979999999979526,0.011812608742517834,3.0106543590217382e-06,6.386777017333167e-06,0.035403644140063646
-59.96999999997952,0.01181786283356119,3.0165968085568995e-06,6.398939511550013e-06,0.03541937301924651
-59.959999999979516,0.01182311807494914,3.0225509873029005e-06,6.411125166950797e-06,0.03543510533704611
-59.94999999997951,0.011828374466681673,3.028516918410726e-06,6.423334027641063e-06,0.03545084109346242
-59.939999999979506,0.011833632008758796,3.034494625077054e-06,6.435566137810352e-06,0.03546658028849548
-59.9299999999795,0.01183889070118051,3.0404841305443476e-06,6.447821541732356e-06,0.035482322922145274
-59.919999999979495,0.011844150543946812,3.046485458100947e-06,6.460100283765069e-06,0.035498068994411804
-59.90999999997949,0.011849411537057703,3.052498631081154e-06,6.472402408350959e-06,0.03551381850529506
-59.899999999979485,0.011854673680513184,3.058523672865331e-06,6.484727960017119e-06,0.035529571454795045
-59.88999999997948,0.011859936974313253,3.0645606068799866e-06,6.4970769833754356e-06,0.03554532784291176
-59.879999999979475,0.011865201418457913,3.070609456597871e-06,6.509449523122745e-06,0.035561087669645226
-59.86999999997947,0.011870467012947162,3.0766702455380507e-06,6.521845624040997e-06,0.03557685093499542
-59.859999999979465,0.011875733757780995,3.082742997266027e-06,6.534265330997416e-06,0.03559261763896234
